;VarName;NAAllowed?;SpecificNeighborsReq?;RegExCheck;AllowedToAlreadyExist;NewValuesAllowed;SimilarityCheckBoundary;Type;HasToOccurAsPrimaryIDIN;ConstructedOnBasisOff;Type;CheckTheseSheetsForPrimaryIdOccurenceWhenReplaced;;;;;
RESE;educ_field_isced2013;TRUE;;^(F01|F02|F03|F04|F05|F06|F07|F08|F09|F10)$;TRUE;TRUE;;text;;;;;;;;;
RESE;org_id;TRUE;;^((CH|DE|NL|IE|UK)_.{12}|NA)$;TRUE;TRUE;;text;ORGS;;;;;;;;
RESE;isco08;TRUE;;^[0-9]{1,4}|OT.{3,6}$;TRUE;TRUE;;text;;;;;;;;;
RESE;tomas_code;TRUE;;.;TRUE;TRUE;;text;;;;;;;;;
POLI;pers_id;FALSE;;^(CH|DE|NL|IE|UK|NO|CA|US)_([A-Z]|[a-z]|-){2,60}_([A-Z]|[a-z]|-){1,60}_(([1-2][0,7-9][0-9][0-9]([a-z]{3}){0,1})(-[0-9]){0,1}|(9999)|NA)$;TRUE;TRUE;0.8;text;;;prim;"PARE;RESE;MEME;MINE;ELEN";;;;;
POLI;id_nl_polca;TRUE;;^[0-9]{4}$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_nl_pdc_num;TRUE;;[0-9]{3,5}$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_nl_pdc_code;TRUE;;^[a-z][a-z0-9]{2}[a-z0-9]{8,10}$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_de_manow;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;id_ch_parlement;TRUE;;[0-9]{1,4}$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_ie_parliament;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;id_uk_scotparl;TRUE;;^[0-9]{1,5}$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_no_storting;TRUE;;^(?=.{1,6}$)[A-ZÆØÅ]*1?[A-ZÆØÅ]*$;TRUE;TRUE;;text;;;;;;;;;
POLI;id_ca_parlinfo;TRUE;;^\d+$;TRUE;TRUE;;;;;;;;;;;
POLI;id_us_icpsr;TRUE;;[0-9]{1,5}$;TRUE;TRUE;;;;;;;;;;;
POLI;wikidata_id;TRUE;;^Q.+;TRUE;TRUE;;text;;;;;;;;;
POLI;last_name;TRUE;;^([A-Z]|[a-z]|-){1,70}$;TRUE;TRUE;;text;;;;;;;;;
POLI;first_name;TRUE;;^([A-Z]|[a-z]|-){1,60}$;TRUE;TRUE;;text;;;;;;;;;
